,review,cleaning
22,서비스 의도는 너무 좋음. 환경오염도 막고 좋다이거임. 그러나 앱 속도 진짜 속터져서 옷을 고를 수가 없음. 컴퓨터로 보는 것 추천. 그리고 자동결제 해지 버튼이 없음?! 상담원과 연결해야 해지 할 수 있는 정신나간 시스템임. 자동 결제 전이라 해지하러들어갔더니 해지버튼도 없고 f&a 뒤지고 뒤져 찾아낸 답변이 상담원한테 이야기해야 해지 가능하다함. 그것도 종료 3일 전에ㅋㅋㅋ 이런거 처음 봄. 지금 주말이라 해지도 안됨ㅋㅋ 조심하세요 다들..가입은 쉽지만 해지는 니맘대로 안된단다? 뭐 이런 사이트가..,서비스의도는너무좋음환경오염도막고좋다이거임그러나앱속도진짜속터져서옷을고를수가없음컴퓨터로보는것추천그리고자동결제해지버튼이없음상담원과연결해야해지할수있는정신나간시스템임자동결제전이라해지하러들어갔더니해지버튼도없고fa뒤지고뒤져찾아낸답변이상담원한테이야기해야해지가능하다함그것도종료3일전에ㅋㅋㅋ이런거처음봄지금주말이라해지도안됨ㅋㅋ조심하세요다들가입은쉽지만해지는니맘대로안된단다뭐이런사이트가
23,"시스템은 정말좋습니다. 옷사이즈 오기, 옷상태점검 등 실망한적도 있었지만 70프로정도는 정말 만족하며 잘 사용했어요. 앱환경도 가끔버벅거려서 불편했어요. 하지만 이모든걸 감안하고도 공유옷장의 장점과 발전가능성이 무궁무진하기에 계속사용할의향은있어요. 제발 이맘 변치않도록 고객의 목소리에 귀길울여 주시기부탁드려요!",시스템은정말좋습니다옷사이즈오기옷상태점검등실망한적도있었지만70프로정도는정말만족하며잘사용했어요앱환경도가끔버벅거려서불편했어요하지만이모든걸감안하고도공유옷장의장점과발전가능성이무궁무진하기에계속사용할의향은있어요제발이맘변치않도록고객의목소리에귀길울여주시기부탁드려요
24,첫이용 결과 대만족입니다. 세탁상태도 좋구요 쇼핑몰에서 옷사면 재고들어와야 배송보내고ㅜ 바로바로안와서 미리 주문해도 원했던 날에 못받아 주문취소랑 반품을 하는일이많은데ㅠ 여긴 재고가 있는 제품만 주문할수있어서 엄청 빨리와요! 그리고 매일 새로운 제품이 올라오니까 매일매일 보게돼요!! 대여서비스가 너무좋고 배송받은 제품들이 관리가 잘되어있어서 저도 안입는 옷들이 있는데 조만간 셰어링 신청하려고요 번창하세요~!,첫이용결과대만족입니다세탁상태도좋구요쇼핑몰에서옷사면재고들어와야배송보내고ㅜ바로바로안와서미리주문해도원했던날에못받아주문취소랑반품을하는일이많은데ㅠ여긴재고가있는제품만주문할수있어서엄청빨리와요그리고매일새로운제품이올라오니까매일매일보게돼요대여서비스가너무좋고배송받은제품들이관리가잘되어있어서저도안입는옷들이있는데조만간셰어링신청하려고요번창하세요
25,"비욘드클로젯 정말 좋은데, 진짜 어플 속도ㅠㅠㅠㅠ 답답해서 울어요ㅠㅠㅠㅠㅠㅠ 어플개선 너무나도 시급합니다.... 정말정말정말루요......... 그리고 마음에 드는 옷 보고 좋아요해놓고 뒤로가기하면 다시 처음부터 봐야하는건 무슨의미인지................. 좋아서 별 4개 해놓지만 어플개선 안하면 1로 내릴래요...",비욘드클로젯정말좋은데진짜어플속도ㅠㅠㅠㅠ답답해서울어요ㅠㅠㅠㅠㅠㅠ어플개선너무나도시급합니다정말정말정말루요그리고마음에드는옷보고좋아요해놓고뒤로가기하면다시처음부터봐야하는건무슨의미인지좋아서별4개해놓지만어플개선안하면1로내릴래요
26,결혼식에 입을 마땅한 옷이 없어서 몇번 입지도 않을텐데... 비싼돈 주고 사느니 한번 빌려입어 볼까?하고 질러봤어요. 제가 렌트한옷은 상태가 모두 좋았어요. 착한가격에 신랑이랑 사이좋게 차려입고 갔더니 다들 비싼옷 사입은줄 알더라구요ㅋㅋ 뿌듯 신랑은 소매가 길어서 조금 아쉬웠어요. 사이즈실패 ㅠ 렌트하실때 본인 사이즈체크는 필수입니당. ^^ 남성복도 많아졌음 좋겠어요. 예쁘고 멋진옷 입혀주고 센스있는 와이프소리 듣고 싶어요. ^^ 좋은서비스를 제공해주셔서 감사합니다. ^^,결혼식에입을마땅한옷이없어서몇번입지도않을텐데비싼돈주고사느니한번빌려입어볼까하고질러봤어요제가렌트한옷은상태가모두좋았어요착한가격에신랑이랑사이좋게차려입고갔더니다들비싼옷사입은줄알더라구요ㅋㅋ뿌듯신랑은소매가길어서조금아쉬웠어요사이즈실패ㅠ렌트하실때본인사이즈체크는필수입니당남성복도많아졌음좋겠어요예쁘고멋진옷입혀주고센스있는와이프소리듣고싶어요좋은서비스를제공해주셔서감사합니다
27,"서비스마인드 빵점인 회사 기대하면서 옷을 골랐는데 사진빨과 화면빨에 속지말자, 몇 날 며칠 고민한 시간이 아까울정도로 옷이 낡고 못입을 수준. 게다가 약속날 입어야하는데 택배도 늦게오는바람에 결국 약속망함.근데 나중에 옷상태보니 왔어도 못입었을 수준. 자기네들이 잘못해놓고 사과조차없고 변명만 하기 바쁜업체수준. 리뷰 보고 결제할걸...돈아까움 ㅠ",서비스마인드빵점인회사기대하면서옷을골랐는데사진빨과화면빨에속지말자몇날며칠고민한시간이아까울정도로옷이낡고못입을수준게다가약속날입어야하는데택배도늦게오는바람에결국약속망함근데나중에옷상태보니왔어도못입었을수준자기네들이잘못해놓고사과조차없고변명만하기바쁜업체수준리뷰보고결제할걸돈아까움ㅠ
28,클로짓셰어에 대한 시스템이나 가격 다 맘에듭니다. 근데 어플 성능이 넘 구려요 진짜 느리고 리뷰 많이쓰려고 해도 자꾸 오류나서 열받아요,클로짓셰어에대한시스템이나가격다맘에듭니다근데어플성능이넘구려요진짜느리고리뷰많이쓰려고해도자꾸오류나서열받아요
29,항상 잘 애용하고 있습니다. 명품부터 디자이너브랜드까지... 데일리룩 특별한 날에 입을 수 있는 다양한 옷 백 등이 있어요 옷 구매하는 것보다 이득! 추천해요 :),항상잘애용하고있습니다명품부터디자이너브랜드까지데일리룩특별한날에입을수있는다양한옷백등이있어요옷구매하는것보다이득추천해요
30,제발 앱/사이트 속도 좀 개선 해주세요 ㅠ_ㅠ 몇 개월 전에 취소했다 재구독 하려고 들어왔는데 아직까지도 속도 개선이 안돼있네요. 서비스가 좋아서웬만하면 쓰고 싶은데 이 앱만 열었다하면 스트레스를 너~무 많이 받아서 그냥 재결제 포기했어요ㅠㅠ 진짜 지금 속도로는 도저히 속터져서 이용 불가 ㅠㅠ 다른 비즈니스 우선순위가 있으니까 반영을 안하시는 것이겠지만.. 저같이 속도때문에 이용 안하는 고객들 꽤 있을테니 꼭 고려해주세요... 속도만 개선되면 다시 결제할테니 제발 개선좀 부탁드립니다ㅠㅠ,제발앱사이트속도좀개선해주세요ㅠㅠ몇개월전에취소했다재구독하려고들어왔는데아직까지도속도개선이안돼있네요서비스가좋아서웬만하면쓰고싶은데이앱만열었다하면스트레스를너무많이받아서그냥재결제포기했어요ㅠㅠ진짜지금속도로는도저히속터져서이용불가ㅠㅠ다른비즈니스우선순위가있으니까반영을안하시는것이겠지만저같이속도때문에이용안하는고객들꽤있을테니꼭고려해주세요속도만개선되면다시결제할테니제발개선좀부탁드립니다ㅠㅠ
31,사실 옷의상태와 청결이 가장걱정되었는데 세탁도 너무 잘되서 새옷같아요~!예쁜옷이 많아 고민이 되네요 평소 사기는 좀 그렇고 입어보고싶었던 옷을 마음대로 입을수있어 넘 좋음~! 진짜 찐추천합니다~~!!,사실옷의상태와청결이가장걱정되었는데세탁도너무잘되서새옷같아요예쁜옷이많아고민이되네요평소사기는좀그렇고입어보고싶었던옷을마음대로입을수있어넘좋음진짜찐추천합니다
