,brandnm,goodsnm,4days,7days
767,DOLCE & GABBANA,pocket stripe pattern wool slacks brown,"24,000","34,000"
768,PRADA,button check pattern wool singlebreasted-jacket brown,"39,000","49,000"
769,"PRADA,EL ESTILO DE CLAIRE","frill cardigan,color block pleats long skirt","36,000","56,000"
770,AMSALE,off shoulder shirring dress white,"34,000","44,000"
771,CHLOE,raglan coat black,"34,000","44,000"
772,"PRADA,HUGO BOSS","waist pintuck pattern shirts skyblue ,cotton slacks navy","48,000","68,000"
773,PRADA,single button modern coat black,"34,000","44,000"
774,VERSACE,button jacquard pattern blazer black,"39,000","49,000"
775,LANVIN,button basic pattern slacks charcoal,"24,000","34,000"
776,LANVIN,embroidery flower pattern bolero navy,"39,000","49,000"
777,ETRO,button geometric pattern shirts multi,"24,000","34,000"
778,PRADA,zipper detail cape padding jumper,"34,000","44,000"
779,VALENTINO,button stripe pattern wool singlebreasted-jacket green,"34,000","44,000"
780,BURBERRY,basic pattern slacks red,"24,000","34,000"
781,DOLCE & GABBANA,lace detail tweed jacket ivory,"39,000","49,000"
782,YVES SAINT LAURENT,button basic pattern wool coat grey,"39,000","49,000"
783,GIVENCHY,button check pattern wool jacket,"34,000","44,000"
784,PRADA,front button check pattern jacket,"34,000","44,000"
785,PRADA,big pocket single breasted coat black,"34,000","44,000"
786,GIVENCHY,basic pattern H-Line wrap-dress black,"39,000","49,000"
787,CELINE,basic pattern skirt beige,"24,000","34,000"
788,BURBERRY,button basic pattern jacket black,"39,000","49,000"
789,"MIU MIU,MIU MIU","stripe sleeveless top,stripe short pants","48,000","68,000"
790,"& OTHER STORIES,DOLCE & GABBANA","high neck lace blouse,bustier dress black","39,000","59,000"
791,CHLOE,side ribbon pocket point jacket,"34,000","44,000"
792,CELINE,diagonal cutting line long coat,"34,000","44,000"
793,THOM BROWNE,white pointed pleats skirt,"19,000","29,000"
794,DOLCE & GABBANA,graphics pattern top charcoal,"19,000","29,000"
795,HUGO BOSS,button basic pattern A-Line pique-dress khaki,"39,000","49,000"
796,MAX MARA,basic pattern coat,"39,000","49,000"
797,SACAI,button stripe pattern shirts blue,"24,000","34,000"
798,HUGO BOSS,stitch pointed coat pink,"34,000","44,000"
799,"DIANE VON FURSTENBERG,PRADA","two pocket skirt brown,turtle neck knit black","38,000","58,000"
800,CHRISTIAN DIOR,button check pattern wool singlebreasted-jacket green,"34,000","44,000"
801,BURBERRY,pleats check pattern wool skirt grey,"24,000","34,000"
802,JIL SANDER,pocket basic pattern doublebreasted-jacket black,"39,000","49,000"
803,HUGO BOSS,basic pattern H-Line dress grey,"39,000","49,000"
804,AMSALE,ribbon detail tube top dress,"39,000","49,000"
