,Brands,Items,4days,7days
118,LOUIS VUITTON,verni mini clutch chain bag black,39000,49000
119,TRAVEL MATE,jadine TSA 20 in,34000,44000
120,GUCCI,unique vintage web mini cross bag,39000,49000
121,LOUIS VUITTON,monogram speedy tote bag brown,39000,49000
122,GUCCI,vintage web GG backpack,49000,59000
123,LOUIS VUITTON,alma epi pm tote bag black,39000,49000
124,GUCCI,ophidia small black,39000,49000
125,MIU MIU,matelasse shoulder bag black,39000,49000
126,GUCCI,dionysus cross bag green,39000,49000
127,CHANEL,zipper detail bucket tote bag,49000,59000
128,CELINE,trio L pink,49000,59000
